name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Breece Hall,Running Back,Iowa State,Big 12,71.0,217.0,4.39,,40.0,126.0,21.0,3,1,1,1,0,0,0,Iowa State,2.0,2.0,0.0,Iowa State,30.0,36.0,3.0,302.0,8.4,253.0,80.0,20.0,1472.0,5.8,28.0,23.0,2.0,180.0,7.8,279.0,75.0,21.0,1573.0,5.6,Iowa State,61.0,23.0,1.0,252.0,11.0,186.0,75.0,9.0,897.0,4.8,,,,,,,,,,,,2.0,1.0,0.0,,,,,,
Ken Walker III,Running Back,Michigan State,Big Ten,69.0,211.0,,,,,21.0,3,1,1,1,0,0,0,Michigan State,1.0,1.0,0.0,Wake Forest,17.0,13.0,1.0,89.0,6.8,263.0,94.0,18.0,1636.0,6.2,19.0,3.0,0.0,30.0,10.0,119.0,75.0,13.0,579.0,4.9,Wake Forest,15.0,3.0,0.0,17.0,5.7,98.0,96.0,4.0,579.0,5.9,,,,,,,,,,,,,,,1.0,0.0,0.0,,,
James Cook,Running Back,Georgia,SEC,71.0,199.0,4.42,,33.0,124.0,22.0,4,1,1,1,1,0,0,Georgia,,,,Georgia,53.0,27.0,4.0,284.0,10.5,113.0,67.0,7.0,728.0,6.4,82.0,16.0,2.0,225.0,14.1,45.0,44.0,3.0,303.0,6.7,Georgia,19.0,16.0,0.0,132.0,8.3,31.0,37.0,2.0,188.0,6.1,Georgia,24.0,8.0,0.0,89.0,11.1,41.0,36.0,2.0,284.0,6.9,1.0,1.0,0.0,,,,1.0,1.0,0.0
Rachaad White,Running Back,Arizona State,Pac-12,72.0,214.0,4.48,,38.0,125.0,23.0,2,0,0,0,1,1,0,Arizona State,1.0,0.0,0.0,Arizona State,34.0,43.0,1.0,456.0,10.6,182.0,50.0,15.0,1006.0,5.5,55.0,8.0,1.0,151.0,18.9,42.0,93.0,5.0,420.0,10.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,
Tyrion Davis-Price,Running Back,LSU,SEC,72.0,211.0,4.48,,30.0,117.0,21.0,3,1,1,1,0,0,0,LSU,3.0,2.0,0.0,LSU,21.0,10.0,0.0,64.0,6.4,211.0,40.0,6.0,1003.0,4.8,9.0,8.0,0.0,47.0,5.9,104.0,35.0,3.0,446.0,4.3,LSU,18.0,10.0,0.0,74.0,7.4,64.0,33.0,6.0,295.0,4.6,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Brian Robinson Jr.,Running Back,Alabama,SEC,74.0,225.0,,,,,23.0,4,0,1,1,1,1,0,Alabama,1.0,1.0,0.0,Alabama,51.0,35.0,2.0,296.0,8.5,271.0,63.0,14.0,1343.0,5.0,6.0,6.0,0.0,26.0,4.3,91.0,21.0,6.0,483.0,5.3,Alabama,34.0,11.0,0.0,124.0,11.3,96.0,37.0,5.0,441.0,4.6,Alabama,,,,,,63.0,20.0,2.0,272.0,4.3,1.0,1.0,0.0,1.0,1.0,0.0,,,
Dameon Pierce,Running Back,Florida,SEC,70.0,218.0,4.59,21.0,34.5,119.0,22.0,4,1,1,1,1,0,0,Florida,,,,Florida,61.0,19.0,3.0,216.0,11.4,100.0,27.0,13.0,574.0,5.7,35.0,17.0,1.0,156.0,9.2,106.0,38.0,4.0,503.0,4.7,Florida,18.0,4.0,0.0,30.0,7.5,54.0,75.0,4.0,305.0,5.6,Florida,9.0,5.0,1.0,20.0,4.0,66.0,68.0,2.0,422.0,6.4,,,,1.0,1.0,0.0,1.0,1.0,0.0
Zamir White,Running Back,Georgia,SEC,72.0,214.0,4.4,,33.5,128.0,22.0,3,0,1,1,1,0,0,Georgia,1.0,0.0,0.0,Georgia,15.0,9.0,0.0,75.0,8.3,160.0,42.0,11.0,856.0,5.4,10.0,6.0,0.0,37.0,6.2,144.0,75.0,11.0,779.0,5.4,Georgia,15.0,2.0,0.0,20.0,10.0,78.0,29.0,3.0,408.0,5.2,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,
Isaiah Spiller,Running Back,Texas A&M,SEC,72.0,217.0,,,30.0,114.0,21.0,3,1,1,1,0,0,0,Texas A&M,2.0,0.0,0.0,Texas A&M,19.0,25.0,1.0,189.0,7.6,179.0,67.0,6.0,1011.0,5.6,36.0,20.0,0.0,193.0,9.7,186.0,57.0,9.0,1040.0,5.6,Texas A&M,45.0,29.0,0.0,203.0,7.0,174.0,85.0,10.0,946.0,5.4,,,,,,,,,,,,2.0,0.0,0.0,3.0,3.0,0.0,,,
Hassan Haskins,Running Back,Michigan,Big Ten,74.0,228.0,,27.0,,,22.0,3,0,1,1,1,0,0,Michigan,,,,Michigan,20.0,18.0,0.0,131.0,7.3,270.0,62.0,20.0,1327.0,4.9,,,,,,61.0,66.0,6.0,376.0,6.2,Michigan,19.0,6.0,0.0,40.0,6.7,121.0,49.0,4.0,622.0,5.1,,,,,,,,,,,,,,,,,,,,
